run_dir	models	turns	input	cache_read	output	usd	seconds
runs/002-outline	claude-haiku-4-5-20251001,claude-sonnet-5	22	20	382374	39906	0.8360578000000002	433
runs/003-outline	claude-haiku-4-5-20251001,claude-sonnet-5	16	14	224926	13766	0.42846720000000005	133
runs/004-write/diagrams	claude-haiku-4-5-20251001,claude-sonnet-5	16	14	101272	9112	0.22295140000000002	83
runs/004-write/slides	claude-fable-5-1,claude-haiku-4-5-20251001	13	130	89952	26351	2.37132	311
runs/005-critique	claude-fable-5-1,claude-haiku-4-5-20251001	11	98	52674	26929	2.3699795	319
runs/006-revise	claude-fable-5-1,claude-haiku-4-5-20251001	34	98	71077	37445	3.4481965	409
runs/007-critique	claude-fable-5-1,claude-haiku-4-5-20251001	22	194	210574	29459	2.6407545	361
runs/008-revise	claude-fable-5-1,claude-haiku-4-5-20251001	31	130	98004	16360	1.6168100000000003	188
runs/009-factcheck	claude-haiku-4-5-20251001,claude-sonnet-5	62	24	1216892	34835	1.9529078999999998	346
runs/010-notes	claude-haiku-4-5-20251001,claude-sonnet-5	33	22	509974	54102	0.8854972999999999	519
runs/010-qa	claude-haiku-4-5-20251001,claude-sonnet-5	22	20	480063	25665	0.5908986	270
runs/011-shots	claude-haiku-4-5-20251001,claude-sonnet-5	44	46	2408701	79701	1.9562872	777
runs/012-critique/content	claude-fable-5-1,claude-haiku-4-5-20251001	12	130	115935	31051	2.781686750000001	372
runs/012-critique/design	claude-haiku-4-5-20251001,claude-sonnet-5	49	24	593057	18937	0.6794834	227
runs/012-critique/teaching	claude-haiku-4-5-20251001,claude-sonnet-5	8	8	99116	19450	0.44908919999999997	218
runs/013-revise	claude-fable-5-1,claude-haiku-4-5-20251001	26	226	327116	52062	4.7055940000000005	609
runs/014-notes	claude-haiku-4-5-20251001,claude-sonnet-5	34	24	771736	63438	1.2843731999999999	594
runs/015-evidence	claude-haiku-4-5-20251001,claude-sonnet-5	37	28	696274	13751	0.7285878	168
runs/016-example	claude-haiku-4-5-20251001,claude-sonnet-5	28	46	509079	9104	0.32087380000000004	206
runs/017-chronicle	claude-haiku-4-5-20251001,claude-sonnet-5	38	20	324552	13186	0.43612340000000005	128
runs/018-write/diagrams	claude-haiku-4-5-20251001,claude-sonnet-5	16	12	85715	6155	0.18109799999999998	59
runs/018-write/illustrations	claude-fable-5-1,claude-haiku-4-5-20251001	10	98	36552	9739	0.937855	115
runs/018-write/slides	claude-fable-5-1,claude-haiku-4-5-20251001	16	194	226550	31436	3.0734994999999996	358
runs/019-critique	claude-fable-5-1,claude-haiku-4-5-20251001	64	162	294318	11350	2.9727125	149
runs/020-revise	claude-fable-5-1,claude-haiku-4-5-20251001	27	162	200428	11045	1.662465	131
runs/021-critique	claude-fable-5-1,claude-haiku-4-5-20251001	63	162	302015	12317	2.9858767500000005	171
runs/022-revise	claude-fable-5-1,claude-haiku-4-5-20251001	29	130	154344	8395	1.4847089999999998	99
runs/023-chronicle	claude-haiku-4-5-20251001,claude-sonnet-5	77	28	815564	22844	0.7693258000000001	210
runs/024-revise	claude-fable-5-1,claude-haiku-4-5-20251001	10	98	108724	5589	1.266974	78
runs/025-factcheck	claude-haiku-4-5-20251001,claude-sonnet-5	70	50	2085503	26460	1.6628976000000002	314
runs/026-notes	claude-haiku-4-5-20251001,claude-sonnet-5	16	12	199996	33637	0.6607932	300
runs/026-qa	claude-haiku-4-5-20251001,claude-sonnet-5	7	8	83273	4979	0.21521360000000003	60
runs/027-notes	claude-haiku-4-5-20251001,claude-sonnet-5	16	12	216430	29539	0.605864	288
runs/029-revise	claude-fable-5-1,claude-haiku-4-5-20251001	12	98	136623	41210	3.8448037499999996	447
runs/030-notes	claude-haiku-4-5-20251001,claude-sonnet-5	27	20	715658	60614	1.2772735999999998	504
